,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
4362,L,302.1,310.1,1447,46.6,169,0,No Failure
4363,H,302.1,310.1,1844,24.6,171,0,No Failure
4364,H,302.1,310.1,1615,29.9,176,0,No Failure
4365,L,302.0,310.0,1449,48.8,181,0,No Failure
4366,L,302.0,309.9,1388,51.4,183,0,No Failure
4367,H,302.0,309.9,1447,42.8,185,0,No Failure
4368,L,302.0,310.0,1664,28.6,190,0,No Failure
4369,H,302.0,309.9,1735,27.2,192,0,No Failure
4370,L,302.0,309.9,1308,57.6,197,1,Heat Dissipation Failure
4371,L,302.0,309.8,1480,40.0,199,0,No Failure
4372,M,301.9,309.6,1439,41.7,201,0,No Failure
4373,M,301.9,309.7,1533,35.9,204,0,No Failure
4374,L,302.0,309.7,1551,34.8,207,0,No Failure
4375,L,302.0,309.7,1414,36.3,209,0,No Failure
4376,M,301.9,309.6,1551,34.6,211,0,No Failure
4377,M,301.8,309.6,1436,49.0,214,0,No Failure
4378,M,301.9,309.6,1385,45.8,217,0,No Failure
4379,M,301.8,309.5,1732,30.1,220,0,No Failure
4380,L,301.9,309.6,1410,49.0,223,0,No Failure
4381,L,301.9,309.6,1446,43.2,225,0,No Failure
4382,L,301.8,309.5,1525,39.6,227,0,No Failure
4383,L,301.7,309.5,1298,65.5,229,1,Heat Dissipation Failure
4384,L,301.8,309.6,1443,42.7,231,0,No Failure
4385,L,301.8,309.7,1442,45.3,233,1,Tool Wear Failure
4386,L,301.9,309.7,1719,31.9,0,0,No Failure
4387,L,302.0,309.8,1532,39.4,2,0,No Failure
4388,L,302.0,309.8,1701,27.2,4,0,No Failure
4389,M,302.1,310.0,1355,45.1,6,1,Heat Dissipation Failure
4390,M,302.2,310.1,1421,45.4,9,0,No Failure
4391,M,302.2,310.1,1368,51.6,12,1,Heat Dissipation Failure
4392,L,302.2,310.1,1458,45.1,15,0,No Failure
4393,M,302.2,310.1,1572,34.6,17,0,No Failure
4394,L,302.2,310.0,1483,48.7,20,0,No Failure
4395,L,302.3,310.1,1513,40.4,22,0,No Failure
4396,H,302.3,310.1,1383,42.9,24,0,No Failure
4397,L,302.4,310.2,1539,37.7,29,0,No Failure
4398,M,302.3,310.1,1563,37.8,31,0,No Failure
4399,L,302.3,310.1,1653,29.7,34,0,No Failure
4400,L,302.3,310.1,1353,50.9,36,1,Heat Dissipation Failure
4401,H,302.2,310.0,1468,43.6,38,0,No Failure
4402,H,302.3,310.2,1506,33.8,43,0,No Failure
4403,L,302.3,310.1,1388,49.9,48,0,No Failure
4404,M,302.4,310.2,1485,45.9,50,0,No Failure
4405,L,302.4,310.2,1331,45.5,53,1,Heat Dissipation Failure
4406,L,302.5,310.3,1326,58.5,55,1,Heat Dissipation Failure
4407,L,302.3,310.2,1394,55.4,57,0,No Failure
4408,L,302.4,310.1,2009,18.9,59,0,No Failure
4409,M,302.4,310.1,1358,54.6,61,1,Heat Dissipation Failure
4410,L,302.5,310.2,1586,32.2,64,0,No Failure
4411,L,302.5,310.3,1688,31.6,66,0,No Failure
4412,L,302.6,310.5,1450,43.2,68,0,No Failure
4413,M,302.7,310.5,1398,47.3,70,0,No Failure
4414,L,302.7,310.5,1520,39.3,73,0,No Failure
4415,L,302.6,310.4,1514,42.7,75,0,No Failure
4416,M,302.6,310.4,1532,36.1,77,0,No Failure
4417,L,302.6,310.4,1365,66.8,80,1,Power Failure
4418,L,302.6,310.3,1642,33.2,82,0,No Failure
4419,M,302.6,310.2,2676,10.8,84,1,Power Failure
4420,H,302.6,310.2,1873,21.3,87,0,No Failure
4421,L,302.6,310.2,1325,62.4,92,1,Heat Dissipation Failure
4422,M,302.6,310.2,2157,17.2,94,0,No Failure
4423,M,302.6,310.2,1563,39.0,97,0,No Failure
4424,M,302.6,310.2,1631,31.0,100,0,No Failure
4425,L,302.5,310.2,1547,36.9,103,0,No Failure
4426,L,302.6,310.3,1479,40.4,105,0,No Failure
4427,M,302.4,310.1,1379,48.9,107,1,Heat Dissipation Failure
4428,L,302.4,310.1,1906,21.2,110,0,No Failure
4429,M,302.3,310.1,1731,33.4,112,0,No Failure
4430,H,302.3,310.1,1688,30.4,115,0,No Failure
4431,H,302.3,310.2,1443,54.6,120,0,No Failure
4432,L,302.4,310.2,1445,46.4,125,0,No Failure
4433,H,302.4,310.2,1435,44.9,127,0,No Failure
4434,L,302.4,310.1,1556,32.9,132,0,No Failure
4435,L,302.3,310.1,1321,52.7,134,1,Heat Dissipation Failure
4436,M,302.4,310.1,1577,35.8,136,0,No Failure
4437,L,302.4,310.2,1578,31.2,139,0,No Failure
4438,L,302.4,310.1,1418,52.3,141,0,No Failure
4439,M,302.4,310.2,1392,55.8,143,0,No Failure
4440,L,302.5,310.3,1446,44.0,146,0,No Failure
4441,L,302.5,310.2,1329,50.6,148,1,Heat Dissipation Failure
4442,L,302.5,310.2,1563,34.8,150,0,No Failure
4443,L,302.5,310.3,1405,57.4,152,0,No Failure
4444,L,302.4,310.2,2224,16.0,154,0,No Failure
4445,L,302.5,310.2,1716,29.9,156,0,No Failure
4446,L,302.5,310.3,1584,35.5,158,0,No Failure
4447,M,302.5,310.3,1488,41.8,160,0,No Failure
4448,L,302.4,310.3,1374,51.2,163,1,Heat Dissipation Failure
4449,M,302.4,310.3,1378,54.3,165,1,Heat Dissipation Failure
4450,L,302.5,310.3,1551,37.3,168,0,No Failure
4451,L,302.5,310.3,1549,40.9,170,0,No Failure
4452,M,302.5,310.3,1447,39.2,172,0,No Failure
4453,L,302.4,310.2,1400,53.7,175,0,No Failure
4454,L,302.4,310.1,1401,48.8,177,0,No Failure
4455,H,302.4,310.1,1597,28.9,179,0,No Failure
4456,L,302.3,310.1,1487,46.0,184,0,No Failure
4457,M,302.5,310.3,1710,27.3,186,0,No Failure
4458,L,302.6,310.4,1478,47.7,189,0,No Failure
4459,L,302.6,310.4,1743,26.3,191,0,No Failure
4460,L,302.6,310.5,1596,32.8,193,0,No Failure
4461,L,302.7,310.5,1642,30.8,195,0,No Failure
4462,L,302.7,310.5,1263,67.8,197,1,Heat Dissipation Failure
4463,L,302.8,310.6,2016,19.9,199,0,No Failure
4464,L,302.8,310.6,1671,30.5,201,0,No Failure
4465,L,302.8,310.6,1404,43.2,203,0,No Failure
4466,L,302.8,310.6,1470,41.1,205,0,No Failure
4467,L,302.8,310.6,1617,37.9,207,0,No Failure
4468,L,302.7,310.5,1725,29.0,209,0,No Failure
4469,L,302.7,310.5,1446,40.9,211,1,Tool Wear Failure
4470,L,302.7,310.6,1564,34.3,0,0,No Failure
4471,L,302.8,310.6,1670,29.1,2,0,No Failure
4472,L,302.7,310.6,1501,48.7,4,0,No Failure
4473,L,302.7,310.5,1551,35.9,6,0,No Failure
4474,L,302.7,310.5,1563,35.0,8,0,No Failure
4475,L,302.7,310.5,1351,41.8,10,1,Heat Dissipation Failure
4476,L,302.6,310.4,1415,52.1,12,0,No Failure
4477,L,302.6,310.3,1647,34.2,14,0,No Failure
4478,L,302.5,310.2,1477,41.6,16,0,No Failure
4479,L,302.6,310.2,1923,21.5,18,0,No Failure
4480,H,302.7,310.4,1305,55.2,20,1,Heat Dissipation Failure
4481,M,302.6,310.4,1544,35.1,25,0,No Failure
4482,H,302.7,310.5,1568,36.9,28,0,No Failure
4483,L,302.7,310.4,1489,42.7,33,0,No Failure
4484,M,302.6,310.4,1451,43.1,35,0,No Failure
4485,L,302.7,310.4,1542,35.7,38,0,No Failure
4486,M,302.6,310.5,1965,20.2,40,0,No Failure
4487,L,302.5,310.5,1436,36.5,43,0,No Failure
4488,M,302.5,310.4,1509,37.6,45,0,No Failure
4489,L,302.5,310.4,1487,40.2,48,0,No Failure
4490,L,302.5,310.4,1967,20.3,50,0,No Failure
4491,H,302.6,310.4,1409,53.3,52,0,No Failure
4492,M,302.6,310.5,1420,56.4,57,0,No Failure
4493,L,302.7,310.5,1511,37.7,60,0,No Failure
4494,H,302.6,310.4,1649,30.1,62,0,No Failure
4495,L,302.6,310.4,1359,57.2,67,1,Heat Dissipation Failure
4496,M,302.5,310.4,1605,36.0,69,0,No Failure
4497,L,302.5,310.3,1523,36.0,72,0,No Failure
4498,H,302.6,310.4,1614,36.0,74,0,No Failure
4499,H,302.6,310.3,1721,27.4,79,0,No Failure
4500,L,302.6,310.4,1638,36.2,84,0,No Failure
4501,L,302.5,310.2,1307,54.0,86,1,Heat Dissipation Failure
4502,L,302.4,310.2,1642,28.3,88,0,No Failure
4503,M,302.5,310.2,1751,30.5,90,0,No Failure
4504,L,302.4,310.1,1645,31.6,93,0,No Failure
4505,L,302.4,310.1,1426,46.8,95,0,No Failure
4506,M,302.4,310.1,1520,36.6,97,0,No Failure
4507,L,302.4,310.1,1709,31.8,100,0,No Failure
4508,L,302.4,310.0,1426,46.6,102,0,No Failure
4509,L,302.4,310.1,1429,43.7,104,0,No Failure
4510,L,302.4,310.2,1346,62.4,106,1,Heat Dissipation Failure
4511,L,302.5,310.2,1454,43.0,108,0,No Failure
4512,M,302.5,310.3,1411,49.5,110,0,No Failure
4513,L,302.4,310.3,1900,24.4,113,0,No Failure
4514,L,302.4,310.3,1479,36.2,115,0,No Failure
4515,L,302.5,310.4,1415,48.2,117,0,No Failure
4516,L,302.5,310.3,1539,39.0,119,0,No Failure
4517,L,302.4,310.3,1520,31.6,121,0,No Failure
4518,L,302.4,310.3,1480,45.8,123,0,No Failure
4519,L,302.4,310.4,1666,29.7,125,0,No Failure
4520,L,302.4,310.4,1456,47.6,127,0,No Failure
4521,L,302.4,310.4,1865,23.9,129,0,No Failure
4522,M,302.5,310.5,1918,21.6,131,0,No Failure
4523,L,302.5,310.4,1488,48.4,134,0,No Failure
4524,M,302.5,310.5,1527,38.8,136,0,No Failure
4525,M,302.4,310.4,1463,42.2,139,0,No Failure
4526,L,302.4,310.4,1521,38.5,142,0,No Failure
4527,M,302.4,310.5,1372,45.7,144,1,Heat Dissipation Failure
4528,L,302.5,310.5,1507,39.5,147,0,No Failure
4529,M,302.4,310.4,1586,34.3,149,0,No Failure
4530,L,302.5,310.4,1487,42.0,152,0,No Failure
4531,L,302.5,310.5,1520,41.2,154,0,No Failure
4532,H,302.5,310.4,1422,41.9,156,0,No Failure
4533,M,302.4,310.3,1375,52.5,161,1,Heat Dissipation Failure
4534,L,302.4,310.2,1633,28.0,164,0,No Failure
4535,L,302.4,310.2,1503,36.2,166,0,No Failure
4536,L,302.4,310.2,1351,45.1,168,1,Heat Dissipation Failure
4537,L,302.3,310.2,1548,35.3,170,0,No Failure
4538,L,302.4,310.3,1923,23.3,172,0,No Failure
4539,L,302.5,310.3,1592,32.6,174,0,No Failure
4540,M,302.5,310.4,1580,35.6,176,0,No Failure
4541,L,302.5,310.4,1427,46.8,179,0,No Failure
4542,M,302.5,310.4,1581,32.7,181,0,No Failure
4543,M,302.6,310.5,1542,39.9,184,0,No Failure
4544,L,302.5,310.4,1349,55.1,187,1,Heat Dissipation Failure
4545,L,302.5,310.5,1463,43.0,189,0,No Failure
4546,M,302.5,310.4,1429,43.2,191,0,No Failure
4547,M,302.5,310.4,1451,53.6,194,0,No Failure
4548,L,302.6,310.5,1511,37.2,197,0,No Failure
4549,L,302.6,310.6,1549,37.5,199,0,No Failure
4550,M,302.5,310.5,1507,40.2,201,0,No Failure
4551,M,302.6,310.5,1524,33.7,204,0,No Failure
4552,M,302.7,310.5,1880,22.7,207,0,No Failure
4553,L,302.6,310.5,1461,45.4,0,0,No Failure
4554,L,302.6,310.5,1748,28.2,2,0,No Failure
4555,L,302.7,310.6,1690,26.7,4,0,No Failure
4556,M,302.7,310.6,1349,51.2,6,1,Heat Dissipation Failure
4557,L,302.7,310.6,1686,26.3,9,0,No Failure
4558,L,302.7,310.7,1369,47.5,11,1,Heat Dissipation Failure
4559,L,302.7,310.7,1433,43.7,13,0,No Failure
4560,L,302.7,310.7,1597,41.9,15,0,No Failure
4561,L,302.9,310.8,1610,32.2,17,0,No Failure
4562,L,302.7,310.7,1398,57.7,19,0,No Failure
4563,L,302.7,310.7,1977,20.0,21,0,No Failure
4564,L,302.8,310.8,1516,39.5,23,0,No Failure
4565,H,302.7,310.8,1275,55.0,25,1,Heat Dissipation Failure
4566,L,302.8,310.8,1402,50.5,30,0,No Failure
4567,M,302.8,310.8,1451,44.7,32,0,No Failure
4568,M,302.7,310.8,1555,36.1,35,0,No Failure
4569,L,302.8,310.9,1636,35.0,38,0,No Failure
4570,L,302.8,310.9,1312,52.2,40,1,Heat Dissipation Failure
4571,L,302.8,310.9,1708,29.8,42,0,No Failure
4572,M,302.9,311.0,1556,36.5,44,0,No Failure
4573,H,302.8,311.0,1436,43.5,47,0,No Failure
4574,M,302.9,311.0,1402,40.7,52,0,No Failure
4575,M,302.9,311.0,1437,49.9,55,0,No Failure
4576,M,302.9,311.1,1926,21.8,58,0,No Failure
4577,L,303.0,311.2,1800,23.7,61,0,No Failure
4578,L,303.0,311.2,1641,32.6,63,0,No Failure
4579,L,303.0,311.2,1374,48.2,65,1,Heat Dissipation Failure
4580,L,303.0,311.2,1494,37.0,67,0,No Failure
4581,L,303.0,311.2,1601,32.9,69,0,No Failure
4582,L,302.9,311.2,1634,36.9,71,0,No Failure
4583,M,302.9,311.2,1467,37.7,73,0,No Failure
4584,L,302.8,311.1,1550,32.3,76,0,No Failure
4585,L,302.8,311.1,1563,32.2,78,0,No Failure
4586,L,302.7,310.9,1395,48.3,80,0,No Failure
4587,M,302.8,311.0,1507,33.4,82,0,No Failure
4588,L,302.8,311.0,1564,38.5,85,0,No Failure
4589,L,302.8,311.1,1721,30.0,87,0,No Failure
4590,L,302.8,311.1,1456,36.1,89,0,No Failure
4591,H,302.9,311.2,2102,17.8,91,0,No Failure
4592,L,302.9,311.1,1555,33.9,96,0,No Failure
4593,L,303.0,311.2,1409,41.9,98,0,No Failure
4594,M,303.0,311.2,1387,41.4,100,0,No Failure
4595,M,303.0,311.2,1460,43.9,103,0,No Failure
4596,L,303.0,311.2,1361,47.6,106,1,Heat Dissipation Failure
4597,M,303.0,311.1,1490,43.0,108,0,No Failure
4598,L,303.1,311.2,1399,49.2,111,0,No Failure
4599,L,303.1,311.1,1420,55.8,113,0,No Failure
4600,L,303.0,311.0,1359,44.2,115,1,Heat Dissipation Failure
4601,M,303.0,311.1,1372,54.3,117,1,Heat Dissipation Failure
4602,M,303.0,311.0,1409,41.7,120,0,No Failure
4603,H,302.9,311.0,1452,58.3,123,0,No Failure
4604,L,302.9,311.0,1820,24.6,128,0,No Failure
4605,H,302.9,311.0,1469,48.7,130,0,No Failure
4606,L,302.9,311.1,1556,45.3,135,0,No Failure
4607,L,303.0,311.1,1980,20.2,137,0,No Failure
4608,M,303.0,311.2,1519,38.0,139,0,No Failure
4609,L,303.0,311.2,1456,44.0,142,0,No Failure
4610,L,303.1,311.2,1394,45.3,144,0,No Failure
4611,L,303.0,311.3,1365,56.2,146,1,Heat Dissipation Failure
4612,L,303.0,311.3,2194,16.5,148,0,No Failure
4613,L,303.1,311.3,1403,55.6,150,0,No Failure
4614,H,303.0,311.2,1503,37.0,152,0,No Failure
4615,L,303.0,311.3,1793,29.3,157,0,No Failure
4616,L,303.1,311.4,1829,24.5,159,0,No Failure
4617,M,303.1,311.4,1831,23.3,161,0,No Failure
4618,M,303.0,311.3,1335,53.6,164,1,Heat Dissipation Failure
4619,H,303.1,311.3,2056,19.7,167,0,No Failure
4620,L,303.1,311.3,1336,52.6,172,1,Heat Dissipation Failure
4621,L,303.0,311.2,1341,51.0,174,1,Heat Dissipation Failure
4622,M,303.0,311.1,1526,37.3,176,0,No Failure
4623,L,303.0,311.1,1525,40.7,179,0,No Failure
4624,M,303.0,311.1,1428,39.8,181,0,No Failure
4625,L,303.0,311.2,1511,45.7,184,0,No Failure
4626,L,303.0,311.2,1664,29.8,186,0,No Failure
4627,M,303.0,311.2,1592,38.9,188,0,No Failure
4628,M,303.0,311.1,1597,36.7,191,0,No Failure
4629,L,303.0,311.2,1735,26.1,194,0,No Failure
4630,L,302.9,311.2,1751,23.8,196,0,No Failure
4631,L,303.0,311.2,1383,44.6,198,0,No Failure
4632,M,302.9,311.2,1330,53.7,200,1,Heat Dissipation Failure
4633,L,303.0,311.2,1382,50.5,203,0,No Failure
4634,L,303.0,311.2,1755,30.4,205,0,No Failure
4635,M,303.0,311.2,1614,35.7,207,0,No Failure
4636,L,303.0,311.3,1466,43.0,210,0,No Failure
4637,M,303.1,311.3,1847,24.7,212,0,No Failure
4638,L,303.1,311.3,1474,34.8,215,0,No Failure
4639,L,303.1,311.3,1657,31.8,217,0,No Failure
4640,L,303.1,311.2,1435,40.1,219,0,No Failure
4641,H,303.1,311.3,1494,42.7,221,0,No Failure
4642,L,303.2,311.4,1238,54.6,226,1,Heat Dissipation Failure
4643,L,303.2,311.4,1324,54.2,228,1,Heat Dissipation Failure
4644,L,303.2,311.4,1514,41.2,230,0,No Failure
4645,L,303.3,311.4,1732,25.6,232,0,No Failure
4646,L,303.3,311.4,1497,46.0,234,1,Tool Wear Failure
4647,L,303.3,311.4,1958,21.5,0,0,No Failure
4648,L,303.3,311.4,1630,32.5,2,0,No Failure
4649,M,303.3,311.4,1395,59.1,4,0,No Failure
4650,L,303.3,311.4,1658,30.5,7,0,No Failure
4651,L,303.2,311.4,1349,51.1,9,1,Heat Dissipation Failure
4652,L,303.1,311.2,1452,52.9,11,0,No Failure
4653,M,303.1,311.1,1594,35.5,13,0,No Failure
4654,M,303.1,311.0,1510,47.6,16,0,No Failure
4655,L,303.1,311.1,1854,22.6,19,0,No Failure
4656,L,303.1,311.2,1626,32.3,21,0,No Failure
4657,L,303.1,311.2,1628,35.2,23,0,No Failure
4658,L,303.1,311.2,1679,34.8,25,0,No Failure
4659,M,303.1,311.2,1489,44.5,27,0,No Failure
4660,L,303.2,311.2,1439,43.9,30,0,No Failure
4661,L,303.3,311.3,1350,48.1,32,1,Heat Dissipation Failure
4662,H,303.3,311.2,1607,31.7,34,0,No Failure
4663,L,303.3,311.3,1389,53.9,39,0,No Failure
4664,M,303.3,311.3,1566,46.1,41,0,No Failure
4665,M,303.4,311.4,1307,54.0,44,1,Heat Dissipation Failure
4666,M,303.3,311.5,1569,36.6,47,0,No Failure
4667,H,303.3,311.4,1651,30.6,50,0,No Failure
4668,H,303.3,311.4,1692,27.9,55,0,No Failure
4669,M,303.3,311.5,1373,47.3,60,1,Heat Dissipation Failure
4670,L,303.2,311.4,1610,35.5,63,0,No Failure
4671,L,303.3,311.4,1511,43.4,65,0,No Failure
4672,L,303.3,311.5,1412,55.6,67,0,No Failure
4673,L,303.4,311.5,1501,36.2,69,0,No Failure
4674,L,303.4,311.5,1414,44.8,71,0,No Failure
4675,H,303.5,311.5,1629,33.5,73,0,No Failure
4676,L,303.4,311.5,1879,21.3,78,0,No Failure
4677,H,303.5,311.6,1466,47.0,80,0,No Failure
4678,H,303.6,311.7,1476,40.1,85,0,No Failure
4679,L,303.6,311.8,1695,30.7,90,0,No Failure
4680,L,303.6,311.7,1491,39.8,92,0,No Failure
4681,M,303.6,311.8,1659,34.7,94,0,No Failure
4682,L,303.6,311.8,1567,31.7,97,0,No Failure
4683,L,303.6,311.8,1736,32.9,99,0,No Failure
4684,M,303.6,311.8,1421,44.8,101,1,No Failure
4685,M,303.6,311.8,1627,30.8,104,0,No Failure
4686,M,303.5,311.6,1562,34.2,107,0,No Failure
4687,L,303.5,311.6,2183,17.0,110,0,No Failure
4688,L,303.5,311.6,1577,38.1,112,0,No Failure
4689,M,303.4,311.5,1560,36.4,114,0,No Failure
4690,M,303.4,311.5,1483,43.0,117,0,No Failure
4691,L,303.5,311.5,1535,33.3,120,0,No Failure
4692,M,303.4,311.4,1606,29.6,122,0,No Failure
4693,M,303.4,311.5,1817,24.7,125,0,No Failure
4694,L,303.4,311.5,1424,50.8,128,0,No Failure
4695,L,303.3,311.6,1514,34.7,130,0,No Failure
4696,L,303.4,311.6,1449,41.7,132,0,No Failure
4697,M,303.5,311.6,1573,34.0,134,0,No Failure
4698,L,303.4,311.6,1564,41.9,137,0,No Failure
4699,L,303.5,311.6,1428,46.2,139,0,No Failure
4700,L,303.5,311.7,1620,31.0,141,0,No Failure
4701,H,303.5,311.7,1584,32.7,143,0,No Failure
4702,L,303.6,311.8,1222,66.8,148,1,Heat Dissipation Failure
4703,M,303.6,311.8,1432,42.5,150,0,No Failure
4704,L,303.7,311.9,1561,33.3,153,0,No Failure
4705,L,303.6,311.8,1614,33.2,155,0,No Failure
4706,L,303.5,311.7,1959,22.3,157,0,No Failure
4707,L,303.5,311.8,1944,23.5,159,0,No Failure
4708,L,303.4,311.7,1793,25.8,161,0,No Failure
4709,M,303.4,311.6,1446,50.0,163,0,No Failure
4710,L,303.4,311.7,1673,32.2,166,0,No Failure
4711,M,303.4,311.7,1515,44.2,168,0,No Failure
4712,L,303.4,311.8,1564,35.9,171,0,No Failure
4713,L,303.5,311.8,1451,45.2,173,0,No Failure
4714,H,303.4,311.8,1693,28.3,175,0,No Failure
4715,L,303.4,311.7,1476,42.3,180,0,No Failure
4716,L,303.4,311.6,1712,30.1,182,0,No Failure
4717,M,303.4,311.6,1425,45.4,184,0,No Failure
4718,L,303.3,311.6,1337,56.8,187,1,Heat Dissipation Failure
4719,M,303.4,311.7,1690,34.9,189,0,No Failure
4720,M,303.4,311.7,1353,44.1,192,1,Heat Dissipation Failure
4721,L,303.5,311.8,1927,21.9,195,0,No Failure
4722,M,303.4,311.8,1391,42.7,197,0,No Failure
4723,L,303.4,311.8,1366,50.9,200,1,Heat Dissipation Failure
4724,L,303.4,311.9,1771,31.6,202,0,No Failure
4725,M,303.4,311.8,1515,42.6,204,0,No Failure
4726,M,303.4,311.8,2133,18.3,207,0,No Failure
4727,M,303.4,311.8,1341,47.0,210,1,Heat Dissipation Failure
4728,L,303.4,311.7,1406,47.1,213,0,No Failure
4729,L,303.4,311.8,1306,61.0,215,1,Heat Dissipation Failure
4730,L,303.3,311.7,1508,35.5,217,0,No Failure
4731,L,303.3,311.6,1301,45.1,219,1,Heat Dissipation Failure
4732,L,303.3,311.7,1539,38.5,221,0,No Failure
4733,L,303.3,311.6,1484,44.6,223,0,No Failure
4734,L,303.2,311.5,1507,39.2,225,0,No Failure
4735,L,303.2,311.5,1544,42.5,227,0,No Failure
4736,L,303.2,311.5,1513,37.9,0,0,No Failure
4737,M,303.2,311.5,1336,58.2,2,1,Heat Dissipation Failure
4738,M,303.2,311.4,2102,19.0,5,0,No Failure
4739,L,303.2,311.4,1351,53.8,8,1,Heat Dissipation Failure
4740,L,303.3,311.5,1601,35.2,10,0,No Failure
4741,L,303.2,311.3,1393,52.9,12,0,No Failure
4742,L,303.3,311.3,1592,33.7,14,0,No Failure
4743,L,303.3,311.3,1409,51.8,16,0,No Failure
4744,L,303.3,311.3,1393,47.4,18,0,No Failure
4745,H,303.2,311.2,1475,43.1,20,0,No Failure
4746,L,303.2,311.2,1427,45.6,25,0,No Failure
4747,L,303.3,311.2,1763,27.3,27,0,No Failure
4748,L,303.2,311.2,1363,46.7,29,1,Heat Dissipation Failure
4749,L,303.2,311.2,1404,50.9,31,0,No Failure
4750,M,303.2,311.2,1688,31.9,33,0,No Failure
4751,L,303.3,311.4,1510,37.3,36,0,No Failure
4752,H,303.3,311.3,1502,39.5,38,0,No Failure
4753,H,303.2,311.4,1607,36.6,43,0,No Failure
4754,M,303.3,311.5,1384,54.8,48,0,No Failure
4755,L,303.4,311.7,1295,51.3,51,1,Heat Dissipation Failure
4756,H,303.4,311.7,1991,19.0,53,0,No Failure
4757,L,303.4,311.6,1497,42.8,58,0,No Failure
4758,L,303.5,311.6,1465,48.7,60,0,No Failure
4759,L,303.5,311.6,1361,46.5,62,1,Heat Dissipation Failure
4760,L,303.6,311.7,1546,38.5,64,0,No Failure
4761,H,303.7,311.9,1332,52.7,66,1,Heat Dissipation Failure
4762,M,303.7,312.0,2663,11.4,71,1,Power Failure
4763,L,303.7,312.1,1443,45.9,74,0,No Failure
4764,M,303.7,312.0,1402,48.6,76,0,No Failure
4765,L,303.7,312.0,1892,22.5,79,0,No Failure
4766,M,303.6,312.0,1645,35.7,81,0,No Failure
4767,L,303.6,311.9,1473,50.1,84,0,No Failure
4768,L,303.6,312.0,1309,52.9,86,1,Heat Dissipation Failure
4769,H,303.6,311.9,1544,37.1,88,0,No Failure
4770,L,303.5,311.9,1344,49.3,93,1,Heat Dissipation Failure
4771,M,303.6,311.9,1617,36.0,95,0,No Failure
4772,M,303.6,312.0,1435,37.9,98,0,No Failure
4773,L,303.6,312.0,1391,50.3,101,0,No Failure
4774,L,303.6,312.0,1827,23.3,103,0,No Failure
4775,L,303.5,312.0,1761,25.8,105,0,No Failure
4776,L,303.5,312.1,1522,36.4,107,0,No Failure
4777,M,303.5,312.2,1818,23.6,109,0,No Failure
4778,H,303.6,312.2,1371,54.6,112,1,Heat Dissipation Failure
4779,L,303.7,312.3,1511,38.9,117,0,No Failure
4780,L,303.7,312.4,1404,46.6,119,0,No Failure
4781,L,303.7,312.3,1384,45.9,121,0,No Failure
4782,L,303.8,312.5,1368,52.6,123,0,No Failure
4783,L,303.7,312.5,1641,36.0,125,0,No Failure
4784,L,303.9,312.6,1642,32.3,127,0,No Failure
4785,H,303.9,312.7,1401,50.0,129,0,No Failure
4786,L,303.8,312.6,1577,41.3,134,0,No Failure
4787,L,303.7,312.6,1396,44.1,136,0,No Failure
4788,H,303.7,312.6,1514,35.5,138,0,No Failure
4789,L,303.8,312.8,1646,35.8,143,0,No Failure
4790,L,303.8,312.8,1443,40.7,145,0,No Failure
4791,M,303.7,312.7,1469,48.5,147,0,No Failure
4792,H,303.7,312.7,1564,40.2,150,0,No Failure
4793,H,303.6,312.6,1498,40.2,155,0,No Failure
4794,L,303.6,312.6,1699,27.9,160,0,No Failure
4795,L,303.6,312.5,1431,49.0,162,0,No Failure
4796,L,303.5,312.4,1390,47.3,164,0,No Failure
4797,L,303.5,312.5,1380,46.1,166,0,No Failure
4798,L,303.5,312.5,1457,46.4,168,0,No Failure
4799,L,303.5,312.5,1418,42.2,170,0,No Failure
4800,M,303.5,312.5,1353,51.0,172,0,No Failure
4801,L,303.5,312.4,1574,32.7,175,0,No Failure
4802,M,303.5,312.4,1318,54.2,177,0,No Failure
4803,L,303.6,312.5,1710,31.4,180,0,No Failure
4804,L,303.7,312.6,1621,38.8,182,0,No Failure
4805,L,303.6,312.6,1606,33.6,184,0,No Failure
4806,H,303.6,312.5,1375,54.0,186,0,No Failure
4807,L,303.5,312.4,1503,36.5,191,0,No Failure
4808,L,303.5,312.3,1404,48.6,193,0,No Failure
4809,L,303.4,312.2,1656,32.7,195,0,No Failure
4810,M,303.4,312.1,1499,39.4,197,0,No Failure
4811,M,303.4,312.0,1748,28.4,200,0,No Failure
4812,L,303.4,311.9,1531,37.9,203,0,No Failure
4813,M,303.3,311.8,1536,40.6,205,0,No Failure
4814,L,303.4,311.8,1401,53.0,208,1,Overstrain Failure
4815,H,303.4,311.9,1534,33.2,210,0,No Failure
4816,L,303.4,312.0,1521,35.9,215,1,Tool Wear Failure
4817,L,303.5,312.1,1674,30.8,0,0,No Failure
4818,M,303.6,312.1,1967,20.9,2,0,No Failure
4819,L,303.6,312.2,1696,30.7,5,0,No Failure
4820,M,303.6,312.1,1627,32.5,7,0,No Failure
4821,L,303.5,311.9,1405,45.6,10,0,No Failure
4822,L,303.5,311.9,1565,38.9,12,0,No Failure
4823,L,303.5,311.9,1493,38.7,14,0,No Failure
4824,L,303.4,311.8,1499,45.0,16,0,No Failure
4825,L,303.3,311.8,1692,30.6,18,0,No Failure
4826,L,303.4,311.8,2268,15.8,20,0,No Failure
